Unnamed: 0,head,variable,value,prob
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1413,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1811,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1642,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1073,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1579,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2053,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1522,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1785,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2023,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi19,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi63,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1007,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1046,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1627,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1279,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1976,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1672,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1410,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1250,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1466,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi702,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1149,0.0606060606060606
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi294,0.0606060606060606
